# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	6017	7741	-					cydC		BSQ33_RS00035	1725		old_locus_tag=BSQ33_00035
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	6017	7741	-	WP_088132832.1	WP_088132832.1		cysteine/glutathione ABC transporter ATP-binding protein/permease CydC	cydC		BSQ33_RS00035	1725	574	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	7734	9524	-					cydD		BSQ33_RS00040	1791		old_locus_tag=BSQ33_00040
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	7734	9524	-	WP_021020472.1	WP_021020472.1		cysteine/glutathione ABC transporter permease/ATP-binding protein CydD	cydD		BSQ33_RS00040	1791	596	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	9677	10633	-					trxB		BSQ33_RS00045	957		old_locus_tag=BSQ33_00045
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	9677	10633	-	WP_021020471.1	WP_021020471.1		thioredoxin-disulfide reductase	trxB		BSQ33_RS00045	957	318	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	11043	11699	+							BSQ33_RS00050	657		old_locus_tag=BSQ33_00050
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	11043	11699	+	WP_088132833.1	WP_088132833.1		2OG-Fe dioxygenase family protein			BSQ33_RS00050	657	218	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	11683	12912	+							BSQ33_RS00055	1230		old_locus_tag=BSQ33_00055
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	11683	12912	+	WP_198298117.1	WP_198298117.1		cysteine desulfurase-like protein			BSQ33_RS00055	1230	409	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	13038	13874	-							BSQ33_RS00060	837		old_locus_tag=BSQ33_00060
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	13038	13874	-	WP_021020468.1	WP_021020468.1		DUF2797 domain-containing protein			BSQ33_RS00060	837	278	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	14013	14687	-							BSQ33_RS00065	675		old_locus_tag=BSQ33_00065
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	14013	14687	-	WP_088132835.1	WP_088132835.1		YdcF family protein			BSQ33_RS00065	675	224	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	14801	15124	-							BSQ33_RS00070	324		old_locus_tag=BSQ33_00070
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	14801	15124	-	WP_088132836.1	WP_088132836.1		DUF3392 domain-containing protein			BSQ33_RS00070	324	107	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	15201	16889	-							BSQ33_RS00075	1689		old_locus_tag=BSQ33_00075
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	15201	16889	-	WP_021020465.1	WP_021020465.1		NAD-dependent malic enzyme			BSQ33_RS00075	1689	562	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	17260	17637	+							BSQ33_RS00080	378		old_locus_tag=BSQ33_00080
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	17260	17637	+	WP_157721334.1	WP_157721334.1		transporter			BSQ33_RS00080	378	125	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	17746	18855	-							BSQ33_RS00085	1110		old_locus_tag=BSQ33_00085
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	17746	18855	-	WP_021020463.1	WP_021020463.1		phosphoribosylaminoimidazolesuccinocarboxamide synthase			BSQ33_RS00085	1110	369	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	19131	19541	-							BSQ33_RS00095	411		old_locus_tag=BSQ33_00095
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	19131	19541	-	WP_088132839.1	WP_088132839.1		hypothetical protein			BSQ33_RS00095	411	136	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	19917	20987	-							BSQ33_RS00100	1071		old_locus_tag=BSQ33_00100
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	19917	20987	-	WP_198298118.1	WP_198298118.1		J domain-containing protein			BSQ33_RS00100	1071	356	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	21057	21725	-							BSQ33_RS00105	669		old_locus_tag=BSQ33_00105
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	21057	21725	-	WP_021020460.1	WP_021020460.1		OmpA family protein			BSQ33_RS00105	669	222	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	21803	22486	-							BSQ33_RS00110	684		old_locus_tag=BSQ33_00110
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	21803	22486	-	WP_021020459.1	WP_021020459.1		DUF2786 domain-containing protein			BSQ33_RS00110	684	227	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	22719	23435	-							BSQ33_RS00115	717		old_locus_tag=BSQ33_00115
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	22719	23435	-	WP_027694207.1	WP_027694207.1		DUF3334 family protein			BSQ33_RS00115	717	238	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	23618	26665	+							BSQ33_RS00120	3048		old_locus_tag=BSQ33_00120
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	23618	26665	+	WP_088132841.1	WP_088132841.1		FAD-binding oxidoreductase			BSQ33_RS00120	3048	1015	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	26758	27222	+							BSQ33_RS00125	465		old_locus_tag=BSQ33_00125
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	26758	27222	+	WP_021020456.1	WP_021020456.1		isoprenylcysteine carboxylmethyltransferase family protein			BSQ33_RS00125	465	154	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	27327	28055	-							BSQ33_RS00130	729		old_locus_tag=BSQ33_00130
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	27327	28055	-	WP_021020455.1	WP_021020455.1		DUF3581 domain-containing protein			BSQ33_RS00130	729	242	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	28447	28767	-							BSQ33_RS00135	321		old_locus_tag=BSQ33_00135
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	28447	28767	-	WP_021020454.1	WP_021020454.1		HI1450 family dsDNA-mimic protein			BSQ33_RS00135	321	106	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	28773	29339	-					yeiP		BSQ33_RS00140	567		old_locus_tag=BSQ33_00140
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	28773	29339	-	WP_021020453.1	WP_021020453.1		elongation factor P-like protein YeiP	yeiP		BSQ33_RS00140	567	188	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	29616	30386	+							BSQ33_RS00145	771		old_locus_tag=BSQ33_00145
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	29616	30386	+	WP_088132842.1	WP_088132842.1		nucleotidyltransferase domain-containing protein			BSQ33_RS00145	771	256	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	30477	32888	-							BSQ33_RS00150	2412		old_locus_tag=BSQ33_00150
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	30477	32888	-	WP_088132843.1	WP_088132843.1		DNA polymerase II			BSQ33_RS00150	2412	803	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	33039	33335	+							BSQ33_RS00155	297		old_locus_tag=BSQ33_00155
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	33039	33335	+	WP_021020450.1	WP_021020450.1		hypothetical protein			BSQ33_RS00155	297	98	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	33727	34371	+					uvrY		BSQ33_RS00160	645		old_locus_tag=BSQ33_00160
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	33727	34371	+	WP_027694205.1	WP_027694205.1		UvrY/SirA/GacA family response regulator transcription factor	uvrY		BSQ33_RS00160	645	214	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	34371	36203	+					uvrC		BSQ33_RS00165	1833		old_locus_tag=BSQ33_00165
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	34371	36203	+	WP_088132844.1	WP_088132844.1		excinuclease ABC subunit UvrC	uvrC		BSQ33_RS00165	1833	610	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	36249	36806	+					pgsA		BSQ33_RS00170	558		old_locus_tag=BSQ33_00170
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	36249	36806	+	WP_021020447.1	WP_021020447.1		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA		BSQ33_RS00170	558	185	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	37110	37910	-							BSQ33_RS00175	801		old_locus_tag=BSQ33_00175
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	37110	37910	-	WP_088132845.1	WP_088132845.1		ABC transporter permease			BSQ33_RS00175	801	266	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	38008	38793	-							BSQ33_RS00180	786		old_locus_tag=BSQ33_00180
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	38008	38793	-	WP_021020445.1	WP_021020445.1		DUF2927 domain-containing protein			BSQ33_RS00180	786	261	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	38795	39592	-							BSQ33_RS00185	798		old_locus_tag=BSQ33_00185
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	38795	39592	-	WP_021020444.1	WP_021020444.1		ATP-binding cassette domain-containing protein			BSQ33_RS00185	798	265	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	39589	40584	-							BSQ33_RS00190	996		old_locus_tag=BSQ33_00190
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	39589	40584	-	WP_021020443.1	WP_021020443.1		ATP-binding cassette domain-containing protein			BSQ33_RS00190	996	331	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	40584	41471	-							BSQ33_RS00195	888		old_locus_tag=BSQ33_00195
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	40584	41471	-	WP_021020442.1	WP_021020442.1		ABC transporter permease subunit			BSQ33_RS00195	888	295	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	41458	42420	-							BSQ33_RS00200	963		old_locus_tag=BSQ33_00200
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	41458	42420	-	WP_021020441.1	WP_021020441.1		ABC transporter permease subunit			BSQ33_RS00200	963	320	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	42420	44042	-					sapA		BSQ33_RS00205	1623		old_locus_tag=BSQ33_00205
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	42420	44042	-	WP_021020440.1	WP_021020440.1		peptide ABC transporter substrate-binding protein SapA	sapA		BSQ33_RS00205	1623	540	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	44165	45205	-					pspF		BSQ33_RS00210	1041		old_locus_tag=BSQ33_00210
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	44165	45205	-	WP_088132846.1	WP_088132846.1		phage shock protein operon transcriptional activator	pspF		BSQ33_RS00210	1041	346	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	45411	46085	+					pspA		BSQ33_RS00215	675		old_locus_tag=BSQ33_00215
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	45411	46085	+	WP_021020438.1	WP_021020438.1		phage shock protein PspA	pspA		BSQ33_RS00215	675	224	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	46095	46334	+					pspB		BSQ33_RS00220	240		old_locus_tag=BSQ33_00220
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	46095	46334	+	WP_021020437.1	WP_021020437.1		envelope stress response membrane protein PspB	pspB		BSQ33_RS00220	240	79	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	46321	46713	+					pspC		BSQ33_RS00225	393		old_locus_tag=BSQ33_00225
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	46321	46713	+	WP_021020436.1	WP_021020436.1		envelope stress response membrane protein PspC	pspC		BSQ33_RS00225	393	130	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	46812	48011	-							BSQ33_RS00230	1200		old_locus_tag=BSQ33_00230
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	46812	48011	-	WP_021020435.1	WP_021020435.1		cystathionine beta-lyase			BSQ33_RS00230	1200	399	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	48094	49548	-					cls		BSQ33_RS00235	1455		old_locus_tag=BSQ33_00235
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	48094	49548	-	WP_021020434.1	WP_021020434.1		cardiolipin synthase	cls		BSQ33_RS00235	1455	484	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	49791	51959	-							BSQ33_RS00240	2169		old_locus_tag=BSQ33_00240
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	49791	51959	-	WP_088132847.1	WP_088132847.1		methyl-accepting chemotaxis protein			BSQ33_RS00240	2169	722	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	52587	53930	+							BSQ33_RS00245	1344		old_locus_tag=BSQ33_00245
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	52587	53930	+	WP_021020432.1	WP_021020432.1		sodium-dependent transporter			BSQ33_RS00245	1344	447	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	54047	54748	+							BSQ33_RS00250	702		old_locus_tag=BSQ33_00250
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	54047	54748	+	WP_021020431.1	WP_021020431.1		TIGR01621 family pseudouridine synthase			BSQ33_RS00250	702	233	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	54756	55688	+							BSQ33_RS00255	933		old_locus_tag=BSQ33_00255
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	54756	55688	+	WP_088132848.1	WP_088132848.1		class I SAM-dependent methyltransferase			BSQ33_RS00255	933	310	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	55736	56179	-							BSQ33_RS00260	444		old_locus_tag=BSQ33_00260
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	55736	56179	-	WP_021020429.1	WP_021020429.1		META domain-containing protein			BSQ33_RS00260	444	147	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	56471	56725	+							BSQ33_RS00265	255		old_locus_tag=BSQ33_00265
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	56471	56725	+	WP_021020428.1	WP_021020428.1		DUF1289 domain-containing protein			BSQ33_RS00265	255	84	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	56768	56989	-							BSQ33_RS00270	222		old_locus_tag=BSQ33_00270
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	56768	56989	-	WP_021020427.1	WP_021020427.1		hypothetical protein			BSQ33_RS00270	222	73	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	57223	57369	-							BSQ33_RS21485	147		
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	57223	57369	-	WP_021020426.1	WP_021020426.1		hypothetical protein			BSQ33_RS21485	147	48	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	57852	58130	-					rplY		BSQ33_RS00275	279		old_locus_tag=BSQ33_00275
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	57852	58130	-	WP_021020425.1	WP_021020425.1		50S ribosomal protein L25	rplY		BSQ33_RS00275	279	92	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	58273	60018	-							BSQ33_RS00280	1746		old_locus_tag=BSQ33_00280
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	58273	60018	-	WP_088132849.1	WP_088132849.1		DEAD/DEAH box helicase			BSQ33_RS00280	1746	581	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	60108	60821	+					rsuA		BSQ33_RS00285	714		old_locus_tag=BSQ33_00285
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	60108	60821	+	WP_021020423.1	WP_021020423.1		16S rRNA pseudouridine(516) synthase RsuA	rsuA		BSQ33_RS00285	714	237	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	60890	62107	+							BSQ33_RS00290	1218		old_locus_tag=BSQ33_00290
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	60890	62107	+	WP_088132850.1	WP_088132850.1		Bcr/CflA family multidrug efflux MFS transporter			BSQ33_RS00290	1218	405	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	62104	62769	+							BSQ33_RS00295	666		old_locus_tag=BSQ33_00295
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	62104	62769	+	WP_088132851.1	WP_088132851.1		DUF2913 family protein			BSQ33_RS00295	666	221	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	63127	63894	+							BSQ33_RS00300	768		old_locus_tag=BSQ33_00300
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	63127	63894	+	WP_088132852.1	WP_088132852.1		SDR family oxidoreductase			BSQ33_RS00300	768	255	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	63905	64948	+							BSQ33_RS00305	1044		old_locus_tag=BSQ33_00305
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	63905	64948	+	WP_088132853.1	WP_088132853.1		alcohol dehydrogenase catalytic domain-containing protein			BSQ33_RS00305	1044	347	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	65083	65964	+					dctP		BSQ33_RS00310	882		old_locus_tag=BSQ33_00310
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	65083	65964	+	WP_198298119.1	WP_198298119.1		TRAP transporter substrate-binding protein DctP	dctP		BSQ33_RS00310	882	293	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	65979	66458	+							BSQ33_RS00315	480		old_locus_tag=BSQ33_00315
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	65979	66458	+	WP_088132855.1	WP_088132855.1		TRAP transporter small permease			BSQ33_RS00315	480	159	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	66463	67749	+							BSQ33_RS00320	1287		old_locus_tag=BSQ33_00320
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	66463	67749	+	WP_021020416.1	WP_021020416.1		TRAP transporter large permease			BSQ33_RS00320	1287	428	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	67864	68601	+							BSQ33_RS00325	738		old_locus_tag=BSQ33_00325
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	67864	68601	+	WP_198298120.1	WP_198298120.1		FadR family transcriptional regulator			BSQ33_RS00325	738	245	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	68676	69929	+							BSQ33_RS00330	1254		old_locus_tag=BSQ33_00330
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	68676	69929	+	WP_021020414.1	WP_021020414.1		2-dehydro-3-deoxy-6-phosphogalactonate aldolase			BSQ33_RS00330	1254	417	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	70402	71178	+							BSQ33_RS00335	777		old_locus_tag=BSQ33_00335
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	70402	71178	+	WP_088132856.1	WP_088132856.1		choline kinase			BSQ33_RS00335	777	258	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	71507	72148	+							BSQ33_RS00340	642		old_locus_tag=BSQ33_00340
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	71507	72148	+	WP_088132857.1	WP_088132857.1		LysE family translocator			BSQ33_RS00340	642	213	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	72305	73162	+							BSQ33_RS00345	858		old_locus_tag=BSQ33_00345
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	72305	73162	+	WP_088132858.1	WP_088132858.1		MBL fold metallo-hydrolase			BSQ33_RS00345	858	285	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	73652	73849	+							BSQ33_RS00350	198		old_locus_tag=BSQ33_00350
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	73652	73849	+	WP_088132859.1	WP_088132859.1		hypothetical protein			BSQ33_RS00350	198	65	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	74168	74833	-							BSQ33_RS00355	666		old_locus_tag=BSQ33_00355
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	74168	74833	-	WP_088132860.1	WP_088132860.1		NAD(P)H-dependent oxidoreductase			BSQ33_RS00355	666	221	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	75002	75532	+							BSQ33_RS00360	531		old_locus_tag=BSQ33_00360
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	75002	75532	+	WP_088132861.1	WP_088132861.1		TetR/AcrR family transcriptional regulator			BSQ33_RS00360	531	176	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	75987	76694	-							BSQ33_RS00365	708		old_locus_tag=BSQ33_00365
CDS	with_protein	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	75987	76694	-	WP_088132862.1	WP_088132862.1		GntR family transcriptional regulator			BSQ33_RS00365	708	235	
gene	protein_coding	GCF_002196515.1	Primary Assembly	chromosome	1	NZ_CP018835.1	76880	77797	+							BSQ33_RS00370	918		old_locus_tag=BSQ33_00370
